document_id,clean_text,sentiment
109,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
110,carrier activate unpaid overdue charges unusable,neutral
111,certified dead pixels flickering,negative
112,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,positive
113,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
114,scared go wrong looks doesnt 1 100 recommend,positive
115,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,positive
116,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,neutral
117,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,neutral
118,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,negative
119,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
120,carrier activate unpaid overdue charges unusable,negative
121,certified dead pixels flickering,negative
122,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
123,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
124,scared go wrong looks doesnt 1 100 recommend,positive
125,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
126,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
127,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,positive
128,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
129,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
130,carrier activate unpaid overdue charges unusable,negative
131,certified dead pixels flickering,neutral
132,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
133,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
134,scared go wrong looks doesnt 1 100 recommend,neutral
135,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
136,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
137,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
138,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,positive
139,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,positive
140,carrier activate unpaid overdue charges unusable,neutral
141,certified dead pixels flickering,neutral
142,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
143,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,neutral
144,scared go wrong looks doesnt 1 100 recommend,negative
145,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
146,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,neutral
147,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
148,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,positive
149,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
150,carrier activate unpaid overdue charges unusable,positive
151,certified dead pixels flickering,positive
152,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
153,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,neutral
154,scared go wrong looks doesnt 1 100 recommend,negative
155,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,neutral
156,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,negative
157,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
158,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
159,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
160,carrier activate unpaid overdue charges unusable,positive
161,certified dead pixels flickering,negative
162,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,positive
163,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,positive
164,scared go wrong looks doesnt 1 100 recommend,neutral
165,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,neutral
166,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,negative
167,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,neutral
168,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,negative
169,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
170,carrier activate unpaid overdue charges unusable,neutral
171,certified dead pixels flickering,negative
172,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,positive
173,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
174,scared go wrong looks doesnt 1 100 recommend,positive
175,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,positive
176,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,neutral
177,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,neutral
178,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,negative
179,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
180,carrier activate unpaid overdue charges unusable,negative
181,certified dead pixels flickering,negative
182,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
183,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
184,scared go wrong looks doesnt 1 100 recommend,positive
185,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
186,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
187,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,positive
188,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
189,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
190,carrier activate unpaid overdue charges unusable,negative
191,certified dead pixels flickering,neutral
192,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
193,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
194,scared go wrong looks doesnt 1 100 recommend,neutral
195,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
196,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
197,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
198,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,positive
199,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,positive
200,carrier activate unpaid overdue charges unusable,neutral
201,certified dead pixels flickering,neutral
202,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
